,№,Адрес,Управляющий,Телефон,Год,Площадь м2,Жители
8,2409,"г. Новосибирск, ул. Ватутина, д. 31/1",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1961,3 198.10,122
9,2410,"г. Новосибирск, ул. Ватутина, д. 33",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1961,3 730.40,107
10,2411,"г. Новосибирск, ул. Ватутина, д. 33/2",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1961,3 133.90,135
11,2412,"г. Новосибирск, ул. Ватутина, д. 35",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1961,3 149.10,137
12,2413,"г. Новосибирск, ул. Ватутина, д. 37",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1961,3 096.55,97
13,2414,"г. Новосибирск, ул. Вертковская, д. 115",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1940,650.00,45
14,2415,"г. Новосибирск, ул. Вертковская, д. 123",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1937,457.80,34
15,2416,"г. Новосибирск, ул. Выставочная, д. 3",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1964,2 495.70,109
16,2417,"г. Новосибирск, ул. Выставочная, д. 4",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1963,3 178.00,139
17,2418,"г. Новосибирск, ул. Выставочная, д. 5",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1964,2 604.10,110
18,2419,"г. Новосибирск, ул. Выставочная, д. 6",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1964,3 177.50,122
19,2420,"г. Новосибирск, ул. Выставочная, д. 12",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1964,3 231.80,102
20,2421,"г. Новосибирск, ул. Выставочная, д. 14",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1963,2 516.20,110
21,2422,"г. Новосибирск, ул. Выставочная, д. 16",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1962,3 189.50,132
22,2423,"г. Новосибирск, ул. Выставочная, д. 24",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1962,3 211.60,142
23,2424,"г. Новосибирск, ул. Выставочная, д. 26",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1962,3 180.10,146
24,2425,"г. Новосибирск, ул. Выставочная, д. 32/1",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1976,7 256.99,310
1,2427,"г. Новосибирск, ул. Выставочная, д. 38",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1964,2 563.30,120
2,2428,"г. Новосибирск, ул. Геодезическая, д. 1",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1961,3 266.10,89
3,2429,"г. Новосибирск, ул. Геодезическая, д. 3",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1961,3 387.41,127
4,2430,"г. Новосибирск, ул. Геодезическая, д. 4",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1968,4 304.50,183
5,2431,"г. Новосибирск, ул. Геодезическая, д. 5",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1961,2 628.70,96
6,2432,"г. Новосибирск, ул. Геодезическая, д. 7",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1961,3 716.10,113
7,2433,"г. Новосибирск, ул. Геодезическая, д. 9",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1961,3 423.50,89
8,2434,"г. Новосибирск, ул. Геодезическая, д. 13",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1961,3 775.20,101
9,2435,"г. Новосибирск, ул. Геодезическая, д. 15/1",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1976,2 587.83,108
10,2436,"г. Новосибирск, ул. Геодезическая, д. 17",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1960,3 899.08,113
11,2437,"г. Новосибирск, ул. Геодезическая, д. 19",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1960,3 619.80,126
12,2438,"г. Новосибирск, ул. Геодезическая, д. 21",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1971,3 572.70,104
13,2439,"г. Новосибирск, ул. Геодезическая, д. 21/1",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1971,1 962.30,83
14,2440,"г. Новосибирск, ул. Геодезическая, д. 23",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1965,7 500.70,211
15,2441,"г. Новосибирск, ул. Горская, д. 10А",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1940,476.50,24
16,2442,"г. Новосибирск, ул. Горская, д. 10Б",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1953,405.20,21
17,2443,"г. Новосибирск, ул. Горская, д. 10Г",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1961,652.30,35
18,2444,"г. Новосибирск, ул. Горская, д. 16А",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1962,653.20,35
19,2445,"г. Новосибирск, ул. Горская, д. 18/1",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1961,626.40,25
20,2446,"г. Новосибирск, мкр. Горский, д. 2",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1992,8 587.70,354
21,2447,"г. Новосибирск, мкр. Горский, д. 3",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1991,11 392.20,531
22,2448,"г. Новосибирск, мкр. Горский, д. 4",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1992,10 882.10,511
23,2449,"г. Новосибирск, мкр. Горский, д. 5",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1995,11 256.00,510
24,2450,"г. Новосибирск, мкр. Горский, д. 39",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1996,19 536.40,500
1,2452,"г. Новосибирск, мкр. Горский, д. 40/1",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1995,3 135.00,57
2,2453,"г. Новосибирск, мкр. Горский, д. 40/2",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1995,2 771.40,67
3,2454,"г. Новосибирск, мкр. Горский, д. 41",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1996,16 428.00,565
4,2455,"г. Новосибирск, мкр. Горский, д. 47",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1999,17 913.40,488
5,2456,"г. Новосибирск, мкр. Горский, д. 48",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1998,17 739.00,535
6,2457,"г. Новосибирск, мкр. Горский, д. 54",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,2001,8 534.60,351
7,2458,"г. Новосибирск, мкр. Горский, д. 55",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,2004,7 843.00,232
8,2459,"г. Новосибирск, ул. Забалуева, д. 54",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1986,11 631.97,558
9,2460,"г. Новосибирск, ул. Забалуева, д. 56",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1989,4 463.60,197
10,2461,"г. Новосибирск, ул. Забалуева, д. 60",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1992,8 531.30,446
11,2462,"г. Новосибирск, ул. Забалуева, д. 66",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1971,3 333.20,193
12,2463,"г. Новосибирск, ул. Забалуева, д. 68",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1971,5 915.50,342
13,2464,"г. Новосибирск, ул. Забалуева, д. 70",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1972,11 235.80,572
14,2465,"г. Новосибирск, ул. Забалуева, д. 72",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1971,3 287.90,179
15,2466,"г. Новосибирск, ул. Забалуева, д. 76",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1974,5 196.40,279
16,2467,"г. Новосибирск, ул. Забалуева, д. 78",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1973,11 608.97,571
17,2468,"г. Новосибирск, ул. Забалуева, д. 80",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1973,5 106.05,269
18,2469,"г. Новосибирск, пр-кт. Карла Маркса, д. 2",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1961,4 002.40,118
19,2470,"г. Новосибирск, пр-кт. Карла Маркса, д. 3А",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1958,3 040.60,118
20,2471,"г. Новосибирск, пр-кт. Карла Маркса, д. 6",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1961,3 245.90,102
21,2472,"г. Новосибирск, пр-кт. Карла Маркса, д. 6/1",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1961,3 778.52,104
22,2473,"г. Новосибирск, пр-кт. Карла Маркса, д. 7",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1959,3 137.00,115
23,2474,"г. Новосибирск, пр-кт. Карла Маркса, д. 8",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1961,3 101.24,90
24,2475,"г. Новосибирск, пр-кт. Карла Маркса, д. 8/1",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1961,1 543.40,54
1,2477,"г. Новосибирск, пр-кт. Карла Маркса, д. 9",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1958,1 573.30,63
2,2478,"г. Новосибирск, пр-кт. Карла Маркса, д. 10",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1961,3 140.30,86
3,2479,"г. Новосибирск, пр-кт. Карла Маркса, д. 10/1",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1961,1 574.10,72
4,2480,"г. Новосибирск, пр-кт. Карла Маркса, д. 10/2",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1960,3 126.60,140
5,2481,"г. Новосибирск, пр-кт. Карла Маркса, д. 12/1",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1961,1 608.80,51
6,2482,"г. Новосибирск, пр-кт. Карла Маркса, д. 13",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1958,3 002.50,92
7,2483,"г. Новосибирск, пр-кт. Карла Маркса, д. 14",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1961,3 077.50,94
8,2484,"г. Новосибирск, пр-кт. Карла Маркса, д. 14/1",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1960,2 789.53,117
9,2485,"г. Новосибирск, пр-кт. Карла Маркса, д. 15",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1959,3 313.70,90
10,2486,"г. Новосибирск, пр-кт. Карла Маркса, д. 17",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1959,1 582.20,62
11,2487,"г. Новосибирск, пр-кт. Карла Маркса, д. 19",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1959,3 058.70,107
12,2488,"г. Новосибирск, пр-кт. Карла Маркса, д. 22",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1959,4 037.10,93
13,2489,"г. Новосибирск, пр-кт. Карла Маркса, д. 25",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1959,3 097.40,92
14,2490,"г. Новосибирск, пр-кт. Карла Маркса, д. 27",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1959,3 291.50,128
15,2491,"г. Новосибирск, пр-кт. Карла Маркса, д. 28",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1963,3 151.60,123
16,2492,"г. Новосибирск, пр-кт. Карла Маркса, д. 28/1",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1974,2 847.60,83
17,2493,"г. Новосибирск, пр-кт. Карла Маркса, д. 29",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1959,3 378.80,114
18,2494,"г. Новосибирск, пр-кт. Карла Маркса, д. 39",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1962,3 309.40,116
19,2495,"г. Новосибирск, пр-кт. Карла Маркса, д. 41",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1962,3 150.60,126
20,2496,"г. Новосибирск, пр-кт. Карла Маркса, д. 43",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1962,3 379.30,108
21,2497,"г. Новосибирск, пр-кт. Карла Маркса, д. 45",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1961,3 281.40,136
22,2498,"г. Новосибирск, пр-кт. Карла Маркса, д. 53",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1962,3 177.80,127
23,2499,"г. Новосибирск, пр-кт. Карла Маркса, д. 55",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1962,3 783.30,101
24,2500,"г. Новосибирск, ул. Космическая, д. 8",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1960,3 015.40,109
1,2502,"г. Новосибирск, ул. Космическая, д. 12/1",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1960,3 498.10,165
2,2503,"г. Новосибирск, ул. Космическая, д. 14",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1961,3 133.70,126
3,2504,"г. Новосибирск, ул. Костычева, д. 4",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1954,4 606.00,138
4,2505,"г. Новосибирск, ул. Костычева, д. 6",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1959,2 924.20,103
5,2506,"г. Новосибирск, ул. Костычева, д. 10",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1961,2 573.80,85
6,2507,"г. Новосибирск, ул. Котовского, д. 1",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1958,7 120.90,176
7,2508,"г. Новосибирск, ул. Котовского, д. 3",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1959,3 506.50,104
8,2509,"г. Новосибирск, ул. Котовского, д. 3/1",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1933,1 916.70,116
9,2510,"г. Новосибирск, ул. Котовского, д. 4",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1970,3 214.70,92
10,2511,"г. Новосибирск, ул. Котовского, д. 5",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1958,4 557.50,145
11,2512,"г. Новосибирск, ул. Котовского, д. 5/1",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1933,1 824.30,76
12,2513,"г. Новосибирск, ул. Котовского, д. 5/2",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1933,2 771.00,98
13,2514,"г. Новосибирск, ул. Котовского, д. 6",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1969,2 630.80,139
14,2515,"г. Новосибирск, ул. Котовского, д. 7",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1956,4 931.00,141
15,2516,"г. Новосибирск, ул. Котовского, д. 7/1",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1954,1 778.90,67
16,2517,"г. Новосибирск, ул. Котовского, д. 8",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1969,3 249.70,95
17,2518,"г. Новосибирск, ул. Котовского, д. 9",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1960,2 449.30,107
18,2519,"г. Новосибирск, ул. Котовского, д. 10",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1982,18 965.38,834
19,2520,"г. Новосибирск, ул. Котовского, д. 12",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1984,3 978.30,183
20,2521,"г. Новосибирск, ул. Котовского, д. 12/1",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1986,4 642.80,186
21,2522,"г. Новосибирск, ул. Котовского, д. 13",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1952,3 268.50,100
22,2523,"г. Новосибирск, ул. Котовского, д. 14",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1988,4 873.20,195
23,2524,"г. Новосибирск, ул. Котовского, д. 15",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1950,3 524.40,112
24,2525,"г. Новосибирск, ул. Котовского, д. 17",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1950,8 850.56,262
1,2527,"г. Новосибирск, ул. Котовского, д. 21",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1943,3 680.18,105
2,2528,"г. Новосибирск, ул. Котовского, д. 22",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1971,4 003.90,144
3,2529,"г. Новосибирск, ул. Котовского, д. 24",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1969,3 436.60,174
4,2530,"г. Новосибирск, ул. Котовского, д. 25/1",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1962,1 588.30,69
5,2531,"г. Новосибирск, ул. Котовского, д. 27",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1968,2 644.30,120
6,2532,"г. Новосибирск, ул. Котовского, д. 28",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1972,4 488.89,202
7,2533,"г. Новосибирск, ул. Котовского, д. 28/1",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1977,2 607.90,123
8,2534,"г. Новосибирск, ул. Котовского, д. 29",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1970,3 286.30,155
9,2535,"г. Новосибирск, ул. Котовского, д. 30",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1974,3 415.00,165
10,2536,"г. Новосибирск, ул. Котовского, д. 31",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1968,3 278.80,154
11,2537,"г. Новосибирск, ул. Котовского, д. 32",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1973,11 241.40,560
12,2538,"г. Новосибирск, ул. Котовского, д. 33",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1962,3 194.50,143
13,2539,"г. Новосибирск, ул. Котовского, д. 35",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1963,3 052.90,122
14,2540,"г. Новосибирск, ул. Котовского, д. 36",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1971,3 893.70,169
15,2541,"г. Новосибирск, ул. Котовского, д. 40",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1971,7 233.80,276
16,2542,"г. Новосибирск, ул. Котовского, д. 41",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1981,6 167.50,194
17,2543,"г. Новосибирск, ул. Котовского, д. 42",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1975,7 403.80,346
18,2544,"г. Новосибирск, ул. Котовского, д. 43",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1966,3 277.20,181
19,2545,"г. Новосибирск, ул. Котовского, д. 44",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1978,6 110.00,286
20,2546,"г. Новосибирск, ул. Котовского, д. 47",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1966,3 296.60,166
21,2547,"г. Новосибирск, ул. Котовского, д. 48",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1975,8 195.70,346
22,2548,"г. Новосибирск, ул. Котовского, д. 52",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1981,14 352.80,489
23,2549,"г. Новосибирск, ул. Крашенинникова, д. 1",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1940,2 054.30,89
24,2550,"г. Новосибирск, ул. Крашенинникова, д. 2",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1941,2 197.45,75
1,2552,"г. Новосибирск, ул. Крашенинникова, д. 5",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1942,1 934.00,86
2,2553,"г. Новосибирск, ул. Крашенинникова, д. 7",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1952,1 406.90,57
3,2554,"г. Новосибирск, ул. Крашенинникова, д. 7/1",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1973,1 047.90,51
4,2555,"г. Новосибирск, ул. Крашенинникова, д. 9",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1945,1 868.20,82
5,2556,"г. Новосибирск, ул. Крашенинникова, д. 10",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1940,932.90,43
6,2557,"г. Новосибирск, ул. Крашенинникова, д. 11",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1951,1 904.68,83
7,2558,"г. Новосибирск, ул. Крашенинникова, д. 13",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1941,1 693.39,79
8,2559,"г. Новосибирск, пер. Крашенинникова 1-й, д. 9",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1940,1 886.69,93
9,2560,"г. Новосибирск, пер. Крашенинникова 1-й, д. 11",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1939,1 409.70,63
10,2561,"г. Новосибирск, пер. Крашенинникова 2-й, д. 2",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1938,1 251.60,53
11,2562,"г. Новосибирск, пер. Крашенинникова 2-й, д. 4",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1938,1 234.90,46
12,2563,"г. Новосибирск, пер. Крашенинникова 2-й, д. 6",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1940,1 889.50,77
13,2564,"г. Новосибирск, пер. Крашенинникова 2-й, д. 8",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1942,1 389.21,62
14,2565,"г. Новосибирск, пер. Крашенинникова 2-й, д. 10",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1938,1 267.30,71
15,2566,"г. Новосибирск, пер. Крашенинникова 2-й, д. 12",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1938,1 237.99,58
16,2567,"г. Новосибирск, пер. Крашенинникова 2-й, д. 14",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1939,1 438.20,67
17,2568,"г. Новосибирск, пер. Крашенинникова 2-й, д. 16",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1938,1 263.31,47
18,2569,"г. Новосибирск, пер. Крашенинникова 3-й, д. 4",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1954,1 392.34,66
19,2570,"г. Новосибирск, пер. Крашенинникова 3-й, д. 6",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1955,1 908.17,84
20,2571,"г. Новосибирск, пер. Крашенинникова 3-й, д. 8",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1950,1 905.60,95
21,2572,"г. Новосибирск, пер. Крашенинникова 3-й, д. 8/1",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1973,1 031.40,50
22,2573,"г. Новосибирск, пер. Крашенинникова 3-й, д. 9",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1954,2 185.60,58
23,2574,"г. Новосибирск, пер. Крашенинникова 3-й, д. 10",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1940,1 903.58,86
24,2575,"г. Новосибирск, пер. Крашенинникова 3-й, д. 12",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1940,1 938.83,101
1,2577,"г. Новосибирск, ул. Невельского, д. 55",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1978,23 226.39,1 225
2,2578,"г. Новосибирск, ул. Невельского, д. 59",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1974,5 815.50,189
3,2579,"г. Новосибирск, ул. Невельского, д. 61",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1975,11 456.60,619
4,2580,"г. Новосибирск, ул. Невельского, д. 63",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1970,4 842.00,236
5,2581,"г. Новосибирск, ул. Невельского, д. 65",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1973,2 626.40,131
6,2582,"г. Новосибирск, ул. Невельского, д. 67",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1972,2 625.40,131
7,2583,"г. Новосибирск, ул. Невельского, д. 69",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1972,5 343.60,276
8,2584,"г. Новосибирск, ул. Невельского, д. 71",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1974,3 758.10,185
9,2585,"г. Новосибирск, ул. Невельского, д. 73",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1976,11 470.20,615
10,2586,"г. Новосибирск, ул. Невельского, д. 75",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1974,5 236.50,304
11,2587,"г. Новосибирск, ул. Невельского, д. 79",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1975,5 083.00,255
12,2588,"г. Новосибирск, ул. Невельского, д. 81",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1974,3 672.90,184
13,2589,"г. Новосибирск, ул. Невельского, д. 83",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1973,5 646.10,277
14,2590,"г. Новосибирск, ул. Невельского, д. 85",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1974,11 064.00,616
15,2591,"г. Новосибирск, ул. Немировича-Данченко, д. 163",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1965,4 253.00,169
16,2592,"г. Новосибирск, ул. Немировича-Данченко, д. 169",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,2000,17 344.09,311
17,2593,"г. Новосибирск, ул. Новогодняя, д. 7",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1961,3 153.20,137
18,2594,"г. Новосибирск, ул. Новогодняя, д. 9",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1961,1 579.00,44
19,2595,"г. Новосибирск, ул. Новогодняя, д. 11",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1961,3 312.00,100
20,2596,"г. Новосибирск, ул. Новогодняя, д. 13",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1961,3 156.00,127
21,2597,"г. Новосибирск, ул. Новогодняя, д. 15",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1961,3 445.60,138
22,2598,"г. Новосибирск, ул. Новогодняя, д. 17",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1961,3 415.00,140
23,2599,"г. Новосибирск, ул. Новогодняя, д. 19",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1962,1 123.80,53
24,2600,"г. Новосибирск, ул. Новогодняя, д. 21",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1961,3 425.80,129
1,2602,"г. Новосибирск, ул. Олимпийская, д. 5",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1952,166.50,11
2,2603,"г. Новосибирск, ул. Олимпийская, д. 11",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1936,98.10,15
3,2604,"г. Новосибирск, ул. Пархоменко, д. 4",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1949,6 339.30,279
4,2605,"г. Новосибирск, ул. Пархоменко, д. 6",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1949,6 924.66,279
5,2606,"г. Новосибирск, ул. Пархоменко, д. 8",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1945,10 872.90,401
